"Time","ai","bitcoin","war","iphone","financial crisis"
"2006-05-01",2,0,21,0,0
"2006-06-01",2,0,15,0,0
"2006-07-01",2,0,15,0,0
"2006-08-01",2,0,14,0,0
"2006-09-01",2,0,16,0,0
"2006-10-01",2,0,19,0,0
"2006-11-01",2,0,21,0,0
"2006-12-01",2,0,19,1,0
"2007-01-01",2,0,17,10,0
"2007-02-01",2,0,19,3,0
"2007-03-01",2,0,20,2,0
"2007-04-01",2,0,20,2,0
"2007-05-01",2,0,19,2,0
"2007-06-01",3,0,15,9,0
"2007-07-01",2,0,13,12,0
"2007-08-01",2,0,14,7,0
"2007-09-01",2,0,16,11,0
"2007-10-01",3,0,16,10,0
"2007-11-01",2,0,18,14,0
"2007-12-01",2,0,18,15,0
"2008-01-01",2,0,17,13,0
"2008-02-01",2,0,17,13,0
"2008-03-01",3,0,19,14,0
"2008-04-01",3,0,19,13,0
"2008-05-01",3,0,18,14,0
"2008-06-01",3,0,14,21,0
"2008-07-01",3,0,14,32,0
"2008-08-01",3,0,14,28,0
"2008-09-01",3,0,16,25,0
"2008-10-01",3,0,18,21,1
"2008-11-01",3,0,23,21,0
"2008-12-01",3,0,20,23,0
"2009-01-01",3,0,19,20,0
"2009-02-01",3,0,20,21,0
"2009-03-01",3,0,21,21,0
"2009-04-01",3,0,18,20,0
"2009-05-01",3,0,19,22,0
"2009-06-01",3,0,15,37,0
"2009-07-01",3,0,14,28,0
"2009-08-01",3,0,14,29,0
"2009-09-01",3,0,15,28,0
"2009-10-01",3,0,15,27,0
"2009-11-01",3,0,16,27,0
"2009-12-01",3,0,17,30,0
"2010-01-01",3,0,16,30,0
"2010-02-01",4,0,16,29,0
"2010-03-01",4,0,19,29,0
"2010-04-01",4,0,18,32,0
"2010-05-01",4,0,18,32,0
"2010-06-01",3,0,15,53,0
"2010-07-01",3,0,14,55,0
"2010-08-01",4,0,13,52,0
"2010-09-01",4,0,14,51,0
"2010-10-01",4,0,16,46,0
"2010-11-01",4,0,16,45,0
"2010-12-01",4,0,15,49,0
"2011-01-01",4,0,15,49,0
"2011-02-01",4,0,14,46,0
"2011-03-01",4,0,16,44,0
"2011-04-01",4,0,16,47,0
"2011-05-01",4,0,15,46,0
"2011-06-01",4,1,14,45,0
"2011-07-01",4,0,13,48,0
"2011-08-01",4,0,14,49,0
"2011-09-01",4,0,16,52,0
"2011-10-01",5,0,15,80,0
"2011-11-01",6,0,15,56,0
"2011-12-01",8,0,14,59,0
"2012-01-01",10,0,15,57,0
"2012-02-01",8,0,14,50,0
"2012-03-01",7,0,14,52,0
"2012-04-01",7,0,14,48,0
"2012-05-01",6,0,14,47,0
"2012-06-01",5,0,13,50,0
"2012-07-01",5,0,12,53,0
"2012-08-01",5,0,11,55,0
"2012-09-01",4,0,13,100,0
"2012-10-01",5,0,13,62,0
"2012-11-01",4,0,14,57,0
"2012-12-01",4,0,13,60,0
"2013-01-01",4,0,14,55,0
"2013-02-01",4,0,14,52,0
"2013-03-01",5,1,17,52,0
"2013-04-01",4,2,16,47,0
"2013-05-01",4,1,14,46,0
"2013-06-01",4,1,15,50,0
"2013-07-01",4,0,14,49,0
"2013-08-01",4,1,12,51,0
"2013-09-01",4,0,15,78,0
"2013-10-01",4,1,13,56,0
"2013-11-01",4,3,13,51,0
"2013-12-01",4,3,13,55,0
"2014-01-01",4,2,12,50,0
"2014-02-01",4,2,12,47,0
"2014-03-01",4,2,12,47,0
"2014-04-01",4,1,13,43,0
"2014-05-01",4,1,13,44,0
"2014-06-01",4,1,11,46,0
"2014-07-01",4,1,11,48,0
"2014-08-01",4,1,13,51,0
"2014-09-01",5,1,11,92,0
"2014-10-01",5,1,12,55,0
"2014-11-01",6,1,13,54,0
"2014-12-01",5,1,13,56,0
"2015-01-01",5,1,13,50,0
"2015-02-01",5,1,13,45,0
"2015-03-01",5,1,13,45,0
"2015-04-01",5,1,14,43,0
"2015-05-01",5,1,15,45,0
"2015-06-01",4,1,12,45,0
"2015-07-01",5,1,12,50,0
"2015-08-01",4,1,12,49,0
"2015-09-01",4,1,14,62,0
"2015-10-01",4,1,13,55,0
"2015-11-01",5,1,15,51,0
"2015-12-01",4,1,14,52,0
"2016-01-01",5,1,14,48,0
"2016-02-01",4,1,14,47,0
"2016-03-01",5,1,15,49,0
"2016-04-01",4,1,18,46,0
"2016-05-01",5,1,23,46,0
"2016-06-01",4,1,14,47,0
"2016-07-01",4,1,12,51,0
"2016-08-01",4,1,12,49,0
"2016-09-01",4,1,14,79,0
"2016-10-01",5,1,14,54,0
"2016-11-01",5,1,13,52,0
"2016-12-01",5,1,13,54,0
"2017-01-01",5,2,13,49,0
"2017-02-01",5,1,12,44,0
"2017-03-01",5,2,13,47,0
"2017-04-01",4,2,15,43,0
"2017-05-01",5,4,14,42,0
"2017-06-01",4,4,11,47,0
"2017-07-01",4,3,14,46,0
"2017-08-01",4,6,12,48,0
"2017-09-01",4,6,11,70,0
"2017-10-01",4,6,13,55,0
"2017-11-01",5,12,14,63,0
"2017-12-01",5,27,13,60,0
"2018-01-01",5,15,12,52,0
"2018-02-01",4,11,12,47,0
"2018-03-01",4,6,15,45,0
"2018-04-01",4,5,29,42,0
"2018-05-01",4,4,28,43,0
"2018-06-01",5,4,14,43,0
"2018-07-01",4,3,12,45,0
"2018-08-01",4,3,13,44,0
"2018-09-01",4,3,12,55,0
"2018-10-01",4,3,11,47,0
"2018-11-01",4,4,12,49,0
"2018-12-01",4,3,12,51,0
"2019-01-01",4,3,11,44,0
"2019-02-01",4,3,12,41,0
"2019-03-01",4,2,11,40,0
"2019-04-01",4,3,14,37,0
"2019-05-01",4,4,14,38,0
"2019-06-01",4,6,10,40,0
"2019-07-01",4,5,9,40,0
"2019-08-01",4,4,9,42,0
